"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical"
"
North America
Argentina,"9,931",648,416,13,"3,032","6,483",171
Czechia,"8,754",33,306,2,"5,926","2,522",36
Afghanistan,"8,676",531,193,6,938,"7,545",19
Norway,"8,309",28,235,1,32,"8,042",14
Bahrain,"8,174",286,12,,"3,873","4,289",9
Algeria,"7,728",186,575,7,"4,062","3,091",22
Kazakhstan,"7,234",265,35,,"3,843","3,356",31
Morocco,"7,211",78,196,2,"4,280","2,735",1
Australia,"7,081",2,100,,"6,472",509,9
Malaysia,"7,059",50,114,,"5,796","1,149",10
Nigeria,"7,016",339,211,11,"1,907","4,898",7
Moldova,"6,704",151,233,5,"2,953","3,518",251
Finland,"6,493",50,306,2,"4,800","1,387",22
Oman,"6,370",327,31,1,"1,821","4,518",31
Ghana,"6,269",,31,,"1,898","4,340",8
Armenia,"5,606",335,70,3,"2,581","2,955",10
Bolivia,"4,919",438,199,10,553,"4,167",3
Cameroon,"4,288",555,156,10,"1,808","2,324",28
Luxembourg,"3,980",9,109,,"3,741",130,6
Iraq,"3,877",153,140,6,"2,483","1,254",
Azerbaijan,"3,749",118,44,1,"2,340","1,365",42
Hungary,"3,641",43,473,3,"1,509","1,659",27
Sudan,"3,138",410,121,10,309,"2,708",
Honduras,"3,100",145,151,4,355,"2,594",13
Guinea,"3,067",204,18,,"1,575","1,474",18
Thailand,"3,037",3,56,,"2,897",84,61
Uzbekistan,"2,964",25,13,,"2,407",544,5
Greece,"2,853",3,168,2,"1,374","1,311",21
Senegal,"2,812",98,33,3,"1,251","1,528",6
Bosnia and Herzegovina,"2,350",12,140,4,"1,596",614,4
Tajikistan,"2,350",210,44,3,470,"1,836",
Bulgaria,"2,331",39,120,4,727,"1,484",31
Ivory Coast,"2,301",70,29,,"1,100","1,172",
Guatemala,"2,265",132,45,2,159,"2,061",5
Croatia,"2,237",3,97,1,"1,978",162,9
Djibouti,"2,047",219,10,1,"1,055",982,
Cuba,"1,908",8,80,1,"1,603",225,5
North Macedonia,"1,898",40,111,1,"1,378",409,21
DRC,"1,835",104,61,,303,"1,471",
Iceland,"1,803",,10,,"1,790",3,
Estonia,"1,800",6,64,,"1,488",248,2
El Salvador,"1,640",69,33,2,544,"1,063",26
Somalia,"1,594",21,61,,204,"1,329",2
Lithuania,"1,593",16,61,1,"1,049",483,17
Gabon,"1,567",,12,,365,"1,190",6
New Zealand,"1,503",,21,,"1,452",30,1
Slovakia,"1,502",6,28,,"1,245",229,3
Mayotte,"1,475",,19,,894,562,11
Slovenia,"1,468",,106,1,"1,340",22,3
Kyrgyzstan,"1,313",43,14,,923,376,5
Maldives,"1,216",30,4,,91,"1,121",9
Kenya,"1,109",80,50,,375,684,1
Guinea-Bissau,"1,109",20,6,,42,"1,061",
Hong Kong,"1,064",8,4,,"1,029",31,1
Sri Lanka,"1,048",20,9,,604,435,1
Tunisia,"1,046",1,47,,883,116,3
Latvia,"1,025",9,22,1,694,309,2
Lebanon,"1,024",63,26,,663,335,3
Albania,969,5,31,,771,167,3
Mali,947,16,60,5,558,329,
Niger,924,4,60,2,753,111,
Cyprus,923,1,17,,561,345,10
Costa Rica,903,6,10,,592,301,3
Equatorial Guinea,903,13,10,3,22,871,
Venezuela,882,58,10,,262,610,2
Zambia,866,34,7,,302,557,1
Paraguay,836,3,11,,256,569,
Burkina Faso,812,3,52,,669,91,
Andorra,762,,51,,639,72,3
Uruguay,749,3,20,,594,135,4
Georgia,721,8,12,,485,224,6
Diamond Princess,712,,13,,651,48,4
Jordan,684,12,9,,457,218,5
Haiti,663,67,22,,21,620,
San Marino,658,2,41,,235,382,1
Malta,599,15,6,,468,125,1
Chad,588,23,58,1,186,344,
Sierra Leone,585,15,35,1,205,345,
Channel Islands,558,,45,,508,5,
Jamaica,529,9,9,,171,349,
Tanzania,509,,21,,183,305,7
South Sudan,481,191,4,,4,473,
Congo,469,49,16,1,137,316,
Nepal,457,30,3,1,49,405,1
Réunion,449,2,1,,411,37,2
Taiwan,441,1,7,,407,27,
CAR,436,18, ,,18,418,
Palestine,423,25,2,,346,75,
Madagascar,405,34,2,,131,272,1
Ethiopia,399,10,5,,123,271,
Cabo Verde,356,7,3,,95,258,
Togo,354,14,12,,118,224,
Isle of Man,336,,24,,303,9,2
Mauritius,332,,10,,322,0,
Montenegro,324,,9,,314,1,2
Vietnam,324,, ,,264,60,2
Rwanda,320,6, ,,217,103,
Nicaragua,279,25,17,,199,63,
Sao Tome and Principe,251,,8,,4,239,
French Guiana,249,12,1,,137,111,
Liberia,240,2,23,,131,86,
Eswatini,220,3,2,,112,106,
Myanmar,199,,6,,108,85,
Yemen,197,13,33,3,5,159,
Martinique,192,,14,,91,87,
Faeroe Islands,187,, ,,187,0,
Mauritania,173,32,5,1,7,161,
Mozambique,162,6, ,,48,114,
Uganda,160,, ,,66,94,
Guadeloupe,155,,13,,109,33,3
Gibraltar,151,2, ,,146,5,
Brunei ,141,,1,,136,4,2
Mongolia,140,, ,,26,114,27
Benin,135,5,3,1,61,71,
Guyana,127,2,10,,57,60,3
Bermuda,125,,9,,80,36,2
Cambodia,123,1, ,,122,1,
Cayman Islands,121,10,1,,55,65,
Trinidad and Tobago,116,,8,,107,1,
Aruba,101,,3,,95,3,4
Bahamas,97,,11,,44,42,1
Monaco,97,,4,,90,3,1
Barbados,90,,7,,70,13,4
Liechtenstein,82,,1,,55,26,
Sint Maarten,77,,15,,54,8,7
Malawi,72,1,3,,27,42,1
Libya,71,2,3,,35,33,
French Polynesia,60,, ,,60,0,
Angola,58,6,3,,17,38,
Syria,58,,3,,36,19,
Zimbabwe,51,3,4,,18,29,
Macao,45,, ,,45,0,
Burundi,42,,1,,20,21,
Saint Martin,40,,3,,33,4,1
Eritrea,39,, ,,39,0,
Comoros,34,,1,,8,25,
Botswana,29,4,1,,19,9,
Antigua and Barbuda,25,,3,,19,3,1
Gambia,24,,1,,13,10,
